Connecting to host 3.16.162.61, port 5201
[  5] local 172.31.14.179 port 36456 connected to 3.16.162.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  69.00-70.00  sec  15.0 MBytes   126 Mbits/sec    0    426 KBytes       
[  5]  70.00-71.00  sec  16.2 MBytes   136 Mbits/sec    0    452 KBytes       
[  5]  71.00-72.00  sec  16.2 MBytes   136 Mbits/sec    0    479 KBytes       
[  5]  72.00-73.00  sec  15.0 MBytes   126 Mbits/sec    5    375 KBytes       
[  5]  73.00-74.00  sec  15.0 MBytes   126 Mbits/sec    0    427 KBytes       
[  5]  74.00-75.00  sec  15.0 MBytes   126 Mbits/sec    0    458 KBytes       
[  5]  75.00-76.00  sec  17.5 MBytes   147 Mbits/sec    0    478 KBytes       
[  5]  76.00-77.00  sec  17.5 MBytes   147 Mbits/sec    0    488 KBytes       
[  5]  77.00-78.00  sec  17.5 MBytes   147 Mbits/sec    0    495 KBytes       
[  5]  78.00-79.00  sec  17.5 MBytes   147 Mbits/sec    0    523 KBytes       
[  5]  79.00-80.00  sec  18.8 MBytes   157 Mbits/sec    0    550 KBytes       
[  5]  80.00-81.00  sec  21.2 MBytes   178 Mbits/sec    0    577 KBytes       
[  5]  81.00-82.00  sec  18.8 MBytes   157 Mbits/sec   84    428 KBytes       
[  5]  82.00-83.00  sec  17.5 MBytes   147 Mbits/sec    0    495 KBytes       
[  5]  83.00-84.00  sec  18.8 MBytes   157 Mbits/sec    0    543 KBytes       
[  5]  84.00-85.00  sec  20.0 MBytes   168 Mbits/sec    0    573 KBytes       
[  5]  85.00-86.00  sec  20.0 MBytes   168 Mbits/sec    0    591 KBytes       
[  5]  86.00-87.00  sec  21.2 MBytes   178 Mbits/sec    0    600 KBytes       
[  5]  87.00-88.00  sec  22.5 MBytes   189 Mbits/sec    0    601 KBytes       
[  5]  88.00-89.00  sec  21.2 MBytes   178 Mbits/sec    0    617 KBytes       
[  5]  89.00-90.00  sec  22.5 MBytes   189 Mbits/sec    0    645 KBytes       
[  5]  90.00-91.00  sec  23.8 MBytes   199 Mbits/sec    0    672 KBytes       
[  5]  91.00-92.00  sec  25.0 MBytes   210 Mbits/sec    0    700 KBytes       
[  5]  92.00-93.00  sec  25.0 MBytes   210 Mbits/sec    0    727 KBytes       
[  5]  93.00-94.00  sec  27.5 MBytes   231 Mbits/sec    0    755 KBytes       
[  5]  94.00-95.00  sec  27.5 MBytes   231 Mbits/sec    0    782 KBytes       
[  5]  95.00-96.00  sec  28.8 MBytes   241 Mbits/sec    0    817 KBytes       
[  5]  96.00-97.00  sec  30.0 MBytes   252 Mbits/sec    0    921 KBytes       
[  5]  97.00-98.00  sec  36.2 MBytes   304 Mbits/sec    0   1.03 MBytes       
[  5]  98.00-99.00  sec  30.0 MBytes   252 Mbits/sec   87    577 KBytes       
[  5]  99.00-100.00 sec  21.2 MBytes   178 Mbits/sec    0    624 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec  2.14 GBytes   183 Mbits/sec  911             sender
[  5]   0.00-100.03 sec  2.13 GBytes   183 Mbits/sec                  receiver

iperf Done.
