PING 54.233.156.226 (54.233.156.226) 56(84) bytes of data.
64 bytes from 54.233.156.226: icmp_seq=82 ttl=52 time=7.24 ms
64 bytes from 54.233.156.226: icmp_seq=83 ttl=52 time=4.73 ms
64 bytes from 54.233.156.226: icmp_seq=84 ttl=52 time=4.36 ms
64 bytes from 54.233.156.226: icmp_seq=85 ttl=52 time=4.99 ms
64 bytes from 54.233.156.226: icmp_seq=86 ttl=52 time=5.14 ms
64 bytes from 54.233.156.226: icmp_seq=87 ttl=52 time=3.83 ms
64 bytes from 54.233.156.226: icmp_seq=88 ttl=52 time=3.28 ms
64 bytes from 54.233.156.226: icmp_seq=89 ttl=52 time=3.04 ms
64 bytes from 54.233.156.226: icmp_seq=90 ttl=52 time=5.28 ms
64 bytes from 54.233.156.226: icmp_seq=91 ttl=52 time=3.24 ms
64 bytes from 54.233.156.226: icmp_seq=92 ttl=52 time=2.89 ms
64 bytes from 54.233.156.226: icmp_seq=93 ttl=52 time=4.20 ms
64 bytes from 54.233.156.226: icmp_seq=94 ttl=52 time=3.32 ms
64 bytes from 54.233.156.226: icmp_seq=95 ttl=52 time=4.79 ms
64 bytes from 54.233.156.226: icmp_seq=96 ttl=52 time=4.10 ms
64 bytes from 54.233.156.226: icmp_seq=97 ttl=52 time=4.46 ms
64 bytes from 54.233.156.226: icmp_seq=98 ttl=52 time=3.28 ms
64 bytes from 54.233.156.226: icmp_seq=99 ttl=52 time=3.20 ms
64 bytes from 54.233.156.226: icmp_seq=100 ttl=52 time=3.20 ms

--- 54.233.156.226 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99177ms
rtt min/avg/max/mdev = 2.882/4.659/10.604/1.344 ms
