Connecting to host 3.121.42.114, port 5201
[  5] local 172.31.29.109 port 33328 connected to 3.121.42.114 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  28.00-29.00  sec  20.0 MBytes   168 Mbits/sec    0    498 KBytes       
[  5]  29.00-30.00  sec  22.5 MBytes   189 Mbits/sec    0    544 KBytes       
[  5]  30.00-31.00  sec  23.8 MBytes   199 Mbits/sec    0    576 KBytes       
[  5]  31.00-32.00  sec  25.0 MBytes   210 Mbits/sec    0    592 KBytes       
[  5]  32.00-33.00  sec  25.0 MBytes   210 Mbits/sec    0    601 KBytes       
[  5]  33.00-34.00  sec  26.2 MBytes   220 Mbits/sec    0    619 KBytes       
[  5]  34.00-35.00  sec  26.2 MBytes   220 Mbits/sec    0    653 KBytes       
[  5]  35.00-36.00  sec  28.8 MBytes   241 Mbits/sec    0    686 KBytes       
[  5]  36.00-37.00  sec  26.2 MBytes   220 Mbits/sec   15    359 KBytes       
[  5]  37.00-38.00  sec  15.0 MBytes   126 Mbits/sec    0    395 KBytes       
[  5]  38.00-39.00  sec  17.5 MBytes   147 Mbits/sec    0    423 KBytes       
[  5]  39.00-40.00  sec  16.2 MBytes   136 Mbits/sec    1    341 KBytes       
[  5]  40.00-41.00  sec  15.0 MBytes   126 Mbits/sec    0    383 KBytes       
[  5]  41.00-42.00  sec  15.0 MBytes   126 Mbits/sec    6    294 KBytes       
[  5]  42.00-43.00  sec  13.8 MBytes   115 Mbits/sec    0    325 KBytes       
[  5]  43.00-44.00  sec  13.8 MBytes   115 Mbits/sec    0    358 KBytes       
[  5]  44.00-45.00  sec  16.2 MBytes   136 Mbits/sec    0    390 KBytes       
[  5]  45.00-46.00  sec  17.5 MBytes   147 Mbits/sec    0    423 KBytes       
[  5]  46.00-47.00  sec  18.8 MBytes   157 Mbits/sec    0    457 KBytes       
[  5]  47.00-48.00  sec  15.0 MBytes   126 Mbits/sec   10    370 KBytes       
[  5]  48.00-49.00  sec  17.5 MBytes   147 Mbits/sec    0    411 KBytes       
[  5]  49.00-50.00  sec  17.5 MBytes   147 Mbits/sec    3    358 KBytes       
[  5]  50.00-51.00  sec  13.8 MBytes   115 Mbits/sec    0    339 KBytes       
[  5]  51.00-52.00  sec  15.0 MBytes   126 Mbits/sec    0    372 KBytes       
[  5]  52.00-53.00  sec  17.5 MBytes   147 Mbits/sec    0    404 KBytes       
[  5]  53.00-54.00  sec  17.5 MBytes   147 Mbits/sec    0    437 KBytes       
[  5]  54.00-55.00  sec  18.8 MBytes   157 Mbits/sec    0    471 KBytes       
[  5]  55.00-56.00  sec  17.5 MBytes   147 Mbits/sec    1    378 KBytes       
[  5]  56.00-57.00  sec  17.5 MBytes   147 Mbits/sec    0    423 KBytes       
[  5]  57.00-58.00  sec  18.8 MBytes   157 Mbits/sec    0    454 KBytes       
[  5]  58.00-59.00  sec  18.8 MBytes   157 Mbits/sec    0    471 KBytes       
[  5]  59.00-60.00  sec  21.2 MBytes   178 Mbits/sec    0    488 KBytes       
[  5]  60.00-61.00  sec  21.2 MBytes   178 Mbits/sec    0    522 KBytes       
[  5]  61.00-62.00  sec  22.5 MBytes   189 Mbits/sec    0    554 KBytes       
[  5]  62.00-63.00  sec  21.2 MBytes   178 Mbits/sec    1    433 KBytes       
[  5]  63.00-64.00  sec  20.0 MBytes   168 Mbits/sec    0    491 KBytes       
[  5]  64.00-65.00  sec  21.2 MBytes   178 Mbits/sec    0    529 KBytes       
[  5]  65.00-66.00  sec  22.5 MBytes   189 Mbits/sec    0    553 KBytes       
[  5]  66.00-67.00  sec  23.8 MBytes   199 Mbits/sec    0    566 KBytes       
[  5]  67.00-68.00  sec  25.0 MBytes   210 Mbits/sec    0    578 KBytes       
[  5]  68.00-69.00  sec  25.0 MBytes   210 Mbits/sec    0    611 KBytes       
[  5]  69.00-70.00  sec  26.2 MBytes   220 Mbits/sec    0    642 KBytes       
[  5]  70.00-71.00  sec  27.5 MBytes   231 Mbits/sec    0    676 KBytes       
[  5]  71.00-72.00  sec  30.0 MBytes   252 Mbits/sec    0    708 KBytes       
[  5]  72.00-73.00  sec  30.0 MBytes   252 Mbits/sec    0    741 KBytes       
[  5]  73.00-74.00  sec  32.5 MBytes   273 Mbits/sec    0    773 KBytes       
[  5]  74.00-75.00  sec  33.8 MBytes   283 Mbits/sec    0    807 KBytes       
[  5]  75.00-76.00  sec  35.0 MBytes   294 Mbits/sec    0    839 KBytes       
[  5]  76.00-77.00  sec  35.0 MBytes   294 Mbits/sec    0    871 KBytes       
[  5]  77.00-78.00  sec  38.8 MBytes   325 Mbits/sec    4    660 KBytes       
[  5]  78.00-79.00  sec  30.0 MBytes   252 Mbits/sec    0    754 KBytes       
[  5]  79.00-80.00  sec  32.5 MBytes   273 Mbits/sec    0    824 KBytes       
[  5]  80.00-81.00  sec  36.2 MBytes   304 Mbits/sec    0    875 KBytes       
[  5]  81.00-82.00  sec  37.5 MBytes   315 Mbits/sec    0    909 KBytes       
[  5]  82.00-83.00  sec  38.8 MBytes   325 Mbits/sec    0    929 KBytes       
[  5]  83.00-84.00  sec  40.0 MBytes   336 Mbits/sec    0    940 KBytes       
[  5]  84.00-85.00  sec  35.0 MBytes   294 Mbits/sec    9    696 KBytes       
[  5]  85.00-86.00  sec  31.2 MBytes   262 Mbits/sec    0    781 KBytes       
[  5]  86.00-87.00  sec  31.2 MBytes   262 Mbits/sec    3    597 KBytes       
[  5]  87.00-88.00  sec  23.8 MBytes   199 Mbits/sec    3    457 KBytes       
[  5]  88.00-89.00  sec  20.0 MBytes   168 Mbits/sec    0    494 KBytes       
[  5]  89.00-90.00  sec  21.2 MBytes   178 Mbits/sec    0    516 KBytes       
[  5]  90.00-91.00  sec  22.5 MBytes   189 Mbits/sec    0    547 KBytes       
[  5]  91.00-92.00  sec  25.0 MBytes   210 Mbits/sec    0    581 KBytes       
[  5]  92.00-93.00  sec  25.0 MBytes   210 Mbits/sec    0    614 KBytes       
[  5]  93.00-94.00  sec  26.2 MBytes   220 Mbits/sec    0    646 KBytes       
[  5]  94.00-95.00  sec  27.5 MBytes   231 Mbits/sec    0    679 KBytes       
[  5]  95.00-96.00  sec  30.0 MBytes   252 Mbits/sec    0    711 KBytes       
[  5]  96.00-97.00  sec  30.0 MBytes   252 Mbits/sec    0    744 KBytes       
[  5]  97.00-98.00  sec  32.5 MBytes   273 Mbits/sec    0    778 KBytes       
[  5]  98.00-99.00  sec  33.8 MBytes   283 Mbits/sec    0    809 KBytes       
[  5]  99.00-100.00 sec  35.0 MBytes   294 Mbits/sec    0    841 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec  2.21 GBytes   190 Mbits/sec  412             sender
[  5]   0.00-100.03 sec  2.21 GBytes   190 Mbits/sec                  receiver

iperf Done.
