Connecting to host 3.8.16.233, port 5201
[  5] local 172.31.29.109 port 51002 connected to 3.8.16.233 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  39.00-40.00  sec  12.5 MBytes   105 Mbits/sec    3    120 KBytes       
[  5]  40.00-41.00  sec  12.5 MBytes   105 Mbits/sec    0    181 KBytes       
[  5]  41.00-42.00  sec  13.8 MBytes   115 Mbits/sec    2    123 KBytes       
[  5]  42.00-43.00  sec  11.2 MBytes  94.4 Mbits/sec    0    182 KBytes       
[  5]  43.00-44.00  sec  15.0 MBytes   126 Mbits/sec    1    174 KBytes       
[  5]  44.00-45.00  sec  16.2 MBytes   136 Mbits/sec    0    233 KBytes       
[  5]  45.00-46.00  sec  20.0 MBytes   168 Mbits/sec    0    294 KBytes       
[  5]  46.00-47.00  sec  25.0 MBytes   210 Mbits/sec    0    352 KBytes       
[  5]  47.00-48.00  sec  30.0 MBytes   252 Mbits/sec    0    413 KBytes       
[  5]  48.00-49.00  sec  22.5 MBytes   189 Mbits/sec    2    246 KBytes       
[  5]  49.00-50.00  sec  22.5 MBytes   189 Mbits/sec    0    307 KBytes       
[  5]  50.00-51.00  sec  25.0 MBytes   210 Mbits/sec    0    366 KBytes       
[  5]  51.00-52.00  sec  21.2 MBytes   178 Mbits/sec    4    222 KBytes       
[  5]  52.00-53.00  sec  16.2 MBytes   136 Mbits/sec    1    206 KBytes       
[  5]  53.00-54.00  sec  17.5 MBytes   147 Mbits/sec    0    266 KBytes       
[  5]  54.00-55.00  sec  23.8 MBytes   199 Mbits/sec    0    325 KBytes       
[  5]  55.00-56.00  sec  26.2 MBytes   220 Mbits/sec    0    385 KBytes       
[  5]  56.00-57.00  sec  32.5 MBytes   273 Mbits/sec    0    444 KBytes       
[  5]  57.00-58.00  sec  26.2 MBytes   220 Mbits/sec    1    368 KBytes       
[  5]  58.00-59.00  sec  30.0 MBytes   252 Mbits/sec    0    424 KBytes       
[  5]  59.00-60.00  sec  33.8 MBytes   283 Mbits/sec    2    339 KBytes       
[  5]  60.00-61.00  sec  26.2 MBytes   220 Mbits/sec    1    280 KBytes       
[  5]  61.00-62.00  sec  17.5 MBytes   147 Mbits/sec    4    178 KBytes       
[  5]  62.00-63.00  sec  12.5 MBytes   105 Mbits/sec    1    182 KBytes       
[  5]  63.00-64.00  sec  16.2 MBytes   136 Mbits/sec    0    243 KBytes       
[  5]  64.00-65.00  sec  18.8 MBytes   157 Mbits/sec    2    150 KBytes       
[  5]  65.00-66.00  sec  13.8 MBytes   115 Mbits/sec    0    209 KBytes       
[  5]  66.00-67.00  sec  18.8 MBytes   157 Mbits/sec    0    269 KBytes       
[  5]  67.00-68.00  sec  22.5 MBytes   189 Mbits/sec    0    328 KBytes       
[  5]  68.00-69.00  sec  27.5 MBytes   231 Mbits/sec    0    386 KBytes       
[  5]  69.00-70.00  sec  32.5 MBytes   273 Mbits/sec    0    445 KBytes       
[  5]  70.00-71.00  sec  26.2 MBytes   220 Mbits/sec    2    260 KBytes       
[  5]  71.00-72.00  sec  22.5 MBytes   189 Mbits/sec    0    320 KBytes       
[  5]  72.00-73.00  sec  26.2 MBytes   220 Mbits/sec    0    378 KBytes       
[  5]  73.00-74.00  sec  32.5 MBytes   273 Mbits/sec    0    438 KBytes       
[  5]  74.00-75.00  sec  30.0 MBytes   252 Mbits/sec    5    358 KBytes       
[  5]  75.00-76.00  sec  22.5 MBytes   189 Mbits/sec    2    211 KBytes       
[  5]  76.00-77.00  sec  18.8 MBytes   157 Mbits/sec    1    189 KBytes       
[  5]  77.00-78.00  sec  15.0 MBytes   126 Mbits/sec    1    178 KBytes       
[  5]  78.00-79.00  sec  16.2 MBytes   136 Mbits/sec    0    240 KBytes       
[  5]  79.00-80.00  sec  21.2 MBytes   178 Mbits/sec    0    300 KBytes       
[  5]  80.00-81.00  sec  25.0 MBytes   210 Mbits/sec    0    359 KBytes       
[  5]  81.00-82.00  sec  25.0 MBytes   210 Mbits/sec    1    304 KBytes       
[  5]  82.00-83.00  sec  21.2 MBytes   178 Mbits/sec    1    262 KBytes       
[  5]  83.00-84.00  sec  15.0 MBytes   126 Mbits/sec    2    174 KBytes       
[  5]  84.00-85.00  sec  15.0 MBytes   126 Mbits/sec    0    233 KBytes       
[  5]  85.00-86.00  sec  17.5 MBytes   147 Mbits/sec    1    211 KBytes       
[  5]  86.00-87.00  sec  15.0 MBytes   126 Mbits/sec    2    198 KBytes       
[  5]  87.00-88.00  sec  17.5 MBytes   147 Mbits/sec    0    257 KBytes       
[  5]  88.00-89.00  sec  22.5 MBytes   189 Mbits/sec    0    317 KBytes       
[  5]  89.00-90.00  sec  23.8 MBytes   199 Mbits/sec    1    269 KBytes       
