Connecting to host 35.197.57.246, port 5201
[  5] local 172.31.6.22 port 39142 connected to 35.197.57.246 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  56.00-57.00  sec  12.5 MBytes   105 Mbits/sec    0   2.03 MBytes       
[  5]  57.00-58.00  sec  12.5 MBytes   105 Mbits/sec    0   2.03 MBytes       
[  5]  58.00-59.00  sec  13.8 MBytes   115 Mbits/sec    0   2.03 MBytes       
[  5]  59.00-60.00  sec  11.2 MBytes  94.4 Mbits/sec    0   2.03 MBytes       
[  5]  60.00-61.00  sec  12.5 MBytes   105 Mbits/sec    0   2.03 MBytes       
[  5]  61.00-62.00  sec  12.5 MBytes   105 Mbits/sec    0   2.03 MBytes       
[  5]  62.00-63.00  sec  8.75 MBytes  73.4 Mbits/sec  337    886 KBytes       
[  5]  63.00-64.00  sec  6.25 MBytes  52.4 Mbits/sec   53   1.06 MBytes       
[  5]  64.00-65.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.11 MBytes       
[  5]  65.00-66.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.16 MBytes       
[  5]  66.00-67.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.19 MBytes       
[  5]  67.00-68.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.20 MBytes       
[  5]  68.00-69.00  sec  6.25 MBytes  52.4 Mbits/sec   23    888 KBytes       
[  5]  69.00-70.00  sec  6.25 MBytes  52.4 Mbits/sec    0    947 KBytes       
[  5]  70.00-71.00  sec  5.00 MBytes  41.9 Mbits/sec    0    991 KBytes       
[  5]  71.00-72.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1022 KBytes       
[  5]  72.00-73.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.02 MBytes       
[  5]  73.00-74.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.02 MBytes       
[  5]  74.00-75.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.03 MBytes       
[  5]  75.00-76.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.03 MBytes       
[  5]  76.00-77.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.03 MBytes       
[  5]  77.00-78.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.03 MBytes       
[  5]  78.00-79.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.04 MBytes       
[  5]  79.00-80.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.07 MBytes       
[  5]  80.00-81.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.11 MBytes       
[  5]  81.00-82.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.16 MBytes       
[  5]  82.00-83.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.23 MBytes       
[  5]  83.00-84.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.33 MBytes       
[  5]  84.00-85.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.45 MBytes       
[  5]  85.00-86.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.60 MBytes       
[  5]  86.00-87.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.80 MBytes       
[  5]  87.00-88.00  sec  11.2 MBytes  94.4 Mbits/sec  178   1.39 MBytes       
[  5]  88.00-89.00  sec  5.00 MBytes  41.9 Mbits/sec  244   1.02 MBytes       
[  5]  89.00-90.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.08 MBytes       
[  5]  90.00-91.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.13 MBytes       
[  5]  91.00-92.00  sec  6.25 MBytes  52.4 Mbits/sec   32    844 KBytes       
[  5]  92.00-93.00  sec  5.00 MBytes  41.9 Mbits/sec    0    901 KBytes       
[  5]  93.00-94.00  sec  5.00 MBytes  41.9 Mbits/sec    0    943 KBytes       
[  5]  94.00-95.00  sec  6.25 MBytes  52.4 Mbits/sec    0    975 KBytes       
[  5]  95.00-96.00  sec  6.25 MBytes  52.4 Mbits/sec    0    989 KBytes       
[  5]  96.00-97.00  sec  6.25 MBytes  52.4 Mbits/sec    0    996 KBytes       
[  5]  97.00-98.00  sec  5.00 MBytes  41.9 Mbits/sec    0    997 KBytes       
[  5]  98.00-99.00  sec  6.25 MBytes  52.4 Mbits/sec    0    997 KBytes       
[  5]  99.00-100.00 sec  6.25 MBytes  52.4 Mbits/sec    0    998 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   717 MBytes  60.2 Mbits/sec  2178             sender
[  5]   0.00-100.16 sec   714 MBytes  59.8 Mbits/sec                  receiver

iperf Done.
