PING 35.244.67.82 (35.244.67.82) 56(84) bytes of data.
64 bytes from 35.244.67.82: icmp_seq=56 ttl=57 time=2.13 ms
64 bytes from 35.244.67.82: icmp_seq=57 ttl=57 time=2.07 ms
64 bytes from 35.244.67.82: icmp_seq=58 ttl=57 time=2.18 ms
64 bytes from 35.244.67.82: icmp_seq=59 ttl=57 time=2.32 ms
64 bytes from 35.244.67.82: icmp_seq=60 ttl=57 time=2.12 ms
64 bytes from 35.244.67.82: icmp_seq=61 ttl=57 time=2.07 ms
64 bytes from 35.244.67.82: icmp_seq=62 ttl=57 time=2.07 ms
64 bytes from 35.244.67.82: icmp_seq=63 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=64 ttl=57 time=2.16 ms
64 bytes from 35.244.67.82: icmp_seq=65 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=66 ttl=57 time=2.08 ms
64 bytes from 35.244.67.82: icmp_seq=67 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=68 ttl=57 time=2.14 ms
64 bytes from 35.244.67.82: icmp_seq=69 ttl=57 time=2.00 ms
64 bytes from 35.244.67.82: icmp_seq=70 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=71 ttl=57 time=2.09 ms
64 bytes from 35.244.67.82: icmp_seq=72 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=73 ttl=57 time=2.04 ms
64 bytes from 35.244.67.82: icmp_seq=74 ttl=57 time=2.13 ms
64 bytes from 35.244.67.82: icmp_seq=75 ttl=57 time=2.05 ms
64 bytes from 35.244.67.82: icmp_seq=76 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=77 ttl=57 time=2.10 ms
64 bytes from 35.244.67.82: icmp_seq=78 ttl=57 time=2.04 ms
64 bytes from 35.244.67.82: icmp_seq=79 ttl=57 time=2.03 ms
64 bytes from 35.244.67.82: icmp_seq=80 ttl=57 time=2.07 ms
64 bytes from 35.244.67.82: icmp_seq=81 ttl=57 time=2.04 ms
64 bytes from 35.244.67.82: icmp_seq=82 ttl=57 time=2.05 ms
64 bytes from 35.244.67.82: icmp_seq=83 ttl=57 time=2.00 ms
64 bytes from 35.244.67.82: icmp_seq=84 ttl=57 time=2.17 ms
64 bytes from 35.244.67.82: icmp_seq=85 ttl=57 time=2.06 ms
64 bytes from 35.244.67.82: icmp_seq=86 ttl=57 time=2.06 ms
64 bytes from 35.244.67.82: icmp_seq=87 ttl=57 time=2.06 ms
64 bytes from 35.244.67.82: icmp_seq=88 ttl=57 time=2.05 ms
64 bytes from 35.244.67.82: icmp_seq=89 ttl=57 time=2.16 ms
64 bytes from 35.244.67.82: icmp_seq=90 ttl=57 time=2.00 ms
64 bytes from 35.244.67.82: icmp_seq=91 ttl=57 time=2.10 ms
64 bytes from 35.244.67.82: icmp_seq=92 ttl=57 time=2.10 ms
64 bytes from 35.244.67.82: icmp_seq=93 ttl=57 time=2.06 ms
64 bytes from 35.244.67.82: icmp_seq=94 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=95 ttl=57 time=2.17 ms
64 bytes from 35.244.67.82: icmp_seq=96 ttl=57 time=2.02 ms
64 bytes from 35.244.67.82: icmp_seq=97 ttl=57 time=2.03 ms
64 bytes from 35.244.67.82: icmp_seq=98 ttl=57 time=2.07 ms
64 bytes from 35.244.67.82: icmp_seq=99 ttl=57 time=2.06 ms
64 bytes from 35.244.67.82: icmp_seq=100 ttl=57 time=2.13 ms

--- 35.244.67.82 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99121ms
rtt min/avg/max/mdev = 1.977/2.125/3.564/0.215 ms
