Connecting to host 13.239.64.172, port 5201
[  5] local 10.160.0.2 port 45326 connected to 13.239.64.172 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  40.00-41.00  sec  2.10 MBytes  17.6 Mbits/sec    0    219 KBytes       
[  5]  41.00-42.00  sec  1.05 MBytes  8.81 Mbits/sec    0    219 KBytes       
[  5]  42.00-43.00  sec   949 KBytes  7.77 Mbits/sec    0    219 KBytes       
[  5]  43.00-44.00  sec  1.91 MBytes  16.1 Mbits/sec    0    221 KBytes       
[  5]  44.00-45.00  sec  1.85 MBytes  15.5 Mbits/sec    0    230 KBytes       
[  5]  45.00-46.00  sec   949 KBytes  7.77 Mbits/sec    0    245 KBytes       
[  5]  46.00-47.00  sec  1.85 MBytes  15.5 Mbits/sec    0    275 KBytes       
[  5]  47.00-48.00  sec  1.85 MBytes  15.5 Mbits/sec    0    318 KBytes       
[  5]  48.00-49.00  sec  1.85 MBytes  15.5 Mbits/sec    0    385 KBytes       
[  5]  49.00-50.00  sec  3.03 MBytes  25.4 Mbits/sec    8    305 KBytes       
[  5]  50.00-51.00  sec  1.85 MBytes  15.5 Mbits/sec    0    360 KBytes       
[  5]  51.00-52.00  sec  2.16 MBytes  18.1 Mbits/sec    3    278 KBytes       
[  5]  52.00-53.00  sec   949 KBytes  7.77 Mbits/sec    0    298 KBytes       
[  5]  53.00-54.00  sec  1.98 MBytes  16.6 Mbits/sec    2    214 KBytes       
[  5]  54.00-55.00  sec  2.22 MBytes  18.7 Mbits/sec    0    238 KBytes       
[  5]  55.00-56.00  sec   949 KBytes  7.77 Mbits/sec    0    256 KBytes       
[  5]  56.00-57.00  sec  2.04 MBytes  17.1 Mbits/sec   12    190 KBytes       
[  5]  57.00-58.00  sec  1012 KBytes  8.29 Mbits/sec    0    208 KBytes       
[  5]  58.00-59.00  sec  1012 KBytes  8.29 Mbits/sec    0    217 KBytes       
[  5]  59.00-60.00  sec  1.91 MBytes  16.1 Mbits/sec    0    219 KBytes       
[  5]  60.00-61.00  sec   949 KBytes  7.77 Mbits/sec    0    219 KBytes       
[  5]  61.00-62.00  sec  1.91 MBytes  16.1 Mbits/sec    0    219 KBytes       
[  5]  62.00-63.00  sec  1012 KBytes  8.29 Mbits/sec    0    226 KBytes       
