PING 13.233.231.202 (13.233.231.202) 56(84) bytes of data.
64 bytes from 13.233.231.202: icmp_seq=84 ttl=52 time=4.85 ms
64 bytes from 13.233.231.202: icmp_seq=85 ttl=52 time=4.13 ms
64 bytes from 13.233.231.202: icmp_seq=86 ttl=52 time=5.42 ms
64 bytes from 13.233.231.202: icmp_seq=87 ttl=52 time=7.00 ms
64 bytes from 13.233.231.202: icmp_seq=88 ttl=52 time=4.61 ms
64 bytes from 13.233.231.202: icmp_seq=89 ttl=52 time=7.85 ms
64 bytes from 13.233.231.202: icmp_seq=90 ttl=52 time=7.26 ms
64 bytes from 13.233.231.202: icmp_seq=91 ttl=52 time=7.06 ms
64 bytes from 13.233.231.202: icmp_seq=92 ttl=52 time=7.88 ms
64 bytes from 13.233.231.202: icmp_seq=93 ttl=52 time=8.98 ms
64 bytes from 13.233.231.202: icmp_seq=94 ttl=52 time=4.52 ms
64 bytes from 13.233.231.202: icmp_seq=95 ttl=52 time=4.74 ms
64 bytes from 13.233.231.202: icmp_seq=96 ttl=52 time=6.24 ms
64 bytes from 13.233.231.202: icmp_seq=97 ttl=52 time=4.05 ms
64 bytes from 13.233.231.202: icmp_seq=98 ttl=52 time=6.12 ms
64 bytes from 13.233.231.202: icmp_seq=99 ttl=52 time=3.36 ms
64 bytes from 13.233.231.202: icmp_seq=100 ttl=52 time=3.54 ms
64 bytes from 13.233.231.202: icmp_seq=97 ttl=52 time=4.05 ms
64 bytes from 13.233.231.202: icmp_seq=98 ttl=52 time=6.12 ms

--- 13.233.231.202 ping statistics ---
100 packets transmitted, 98 received, 2% packet loss, time 99165ms
rtt min/avg/max/mdev = 2.665/4.728/9.184/1.428 ms
