Connecting to host 52.47.137.100, port 5201
[  5] local 172.31.3.158 port 41404 connected to 52.47.137.100 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  69.00-70.00  sec  36.2 MBytes   304 Mbits/sec   62    313 KBytes       
[  5]  70.00-71.00  sec  38.8 MBytes   325 Mbits/sec    0    397 KBytes       
[  5]  71.00-72.00  sec  36.2 MBytes   304 Mbits/sec   35    250 KBytes       
[  5]  72.00-73.00  sec  31.2 MBytes   262 Mbits/sec    0    334 KBytes       
[  5]  73.00-74.00  sec  41.2 MBytes   346 Mbits/sec    0    417 KBytes       
[  5]  74.00-75.00  sec  37.5 MBytes   315 Mbits/sec   60    366 KBytes       
[  5]  75.00-76.00  sec  40.0 MBytes   336 Mbits/sec   66    320 KBytes       
[  5]  76.00-77.00  sec  33.8 MBytes   283 Mbits/sec   78    287 KBytes       
[  5]  77.00-78.00  sec  36.2 MBytes   304 Mbits/sec    0    372 KBytes       
[  5]  78.00-79.00  sec  36.2 MBytes   304 Mbits/sec    8    331 KBytes       
[  5]  79.00-80.00  sec  28.8 MBytes   241 Mbits/sec   78    214 KBytes       
[  5]  80.00-81.00  sec  28.8 MBytes   241 Mbits/sec    0    298 KBytes       
[  5]  81.00-82.00  sec  37.5 MBytes   315 Mbits/sec    0    385 KBytes       
[  5]  82.00-83.00  sec  37.5 MBytes   315 Mbits/sec   36    342 KBytes       
[  5]  83.00-84.00  sec  36.2 MBytes   304 Mbits/sec   62    303 KBytes       
[  5]  84.00-85.00  sec  37.5 MBytes   315 Mbits/sec    0    385 KBytes       
[  5]  85.00-86.00  sec  43.8 MBytes   367 Mbits/sec    0    467 KBytes       
[  5]  86.00-87.00  sec  47.5 MBytes   398 Mbits/sec    0    539 KBytes       
[  5]  87.00-88.00  sec  37.5 MBytes   315 Mbits/sec  182    325 KBytes       
[  5]  88.00-89.00  sec  26.2 MBytes   220 Mbits/sec   70    219 KBytes       
[  5]  89.00-90.00  sec  25.0 MBytes   210 Mbits/sec    9    223 KBytes       
[  5]  90.00-91.00  sec  22.5 MBytes   189 Mbits/sec   11    230 KBytes       
[  5]  91.00-92.00  sec  23.8 MBytes   199 Mbits/sec   13    236 KBytes       
[  5]  92.00-93.00  sec  23.8 MBytes   199 Mbits/sec    2    240 KBytes       
[  5]  93.00-94.00  sec  31.2 MBytes   262 Mbits/sec    0    325 KBytes       
[  5]  94.00-95.00  sec  35.0 MBytes   294 Mbits/sec   30    291 KBytes       
[  5]  95.00-96.00  sec  33.8 MBytes   283 Mbits/sec   38    260 KBytes       
[  5]  96.00-97.00  sec  33.8 MBytes   283 Mbits/sec    0    345 KBytes       
[  5]  97.00-98.00  sec  41.2 MBytes   346 Mbits/sec    0    427 KBytes       
[  5]  98.00-99.00  sec  38.8 MBytes   325 Mbits/sec   92    370 KBytes       
[  5]  99.00-100.00 sec  43.8 MBytes   367 Mbits/sec    0    452 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec  4.39 GBytes   377 Mbits/sec  2652             sender
[  5]   0.00-100.03 sec  4.39 GBytes   377 Mbits/sec                  receiver

iperf Done.
