Connecting to host 52.12.99.134, port 5201
[  5] local 10.152.0.2 port 38902 connected to 52.12.99.134 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  5.00 MBytes  41.9 Mbits/sec    0    852 KBytes       
[  5]  67.00-68.00  sec  5.00 MBytes  41.9 Mbits/sec    0    916 KBytes       
[  5]  68.00-69.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1001 KBytes       
[  5]  69.00-70.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.08 MBytes       
[  5]  70.00-71.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.21 MBytes       
[  5]  71.00-72.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.37 MBytes       
[  5]  72.00-73.00  sec  2.50 MBytes  21.0 Mbits/sec  491    458 KBytes       
[  5]  73.00-74.00  sec  3.75 MBytes  31.5 Mbits/sec  121    356 KBytes       
[  5]  74.00-75.00  sec  2.50 MBytes  21.0 Mbits/sec    0    395 KBytes       
[  5]  75.00-76.00  sec  2.50 MBytes  21.0 Mbits/sec    0    417 KBytes       
[  5]  76.00-77.00  sec  2.50 MBytes  21.0 Mbits/sec    0    428 KBytes       
[  5]  77.00-78.00  sec  2.50 MBytes  21.0 Mbits/sec    0    432 KBytes       
[  5]  78.00-79.00  sec  2.50 MBytes  21.0 Mbits/sec    0    432 KBytes       
[  5]  79.00-80.00  sec  2.50 MBytes  21.0 Mbits/sec    0    432 KBytes       
[  5]  80.00-81.00  sec  2.50 MBytes  21.0 Mbits/sec    0    436 KBytes       
[  5]  81.00-82.00  sec  2.50 MBytes  21.0 Mbits/sec    0    444 KBytes       
[  5]  82.00-83.00  sec  2.50 MBytes  21.0 Mbits/sec    0    462 KBytes       
[  5]  83.00-84.00  sec  2.50 MBytes  21.0 Mbits/sec    0    495 KBytes       
[  5]  84.00-85.00  sec  2.50 MBytes  21.0 Mbits/sec    0    543 KBytes       
[  5]  85.00-86.00  sec  3.75 MBytes  31.5 Mbits/sec    0    610 KBytes       
[  5]  86.00-87.00  sec  3.75 MBytes  31.5 Mbits/sec    0    703 KBytes       
[  5]  87.00-88.00  sec  3.75 MBytes  31.5 Mbits/sec    0    821 KBytes       
[  5]  88.00-89.00  sec  6.25 MBytes  52.4 Mbits/sec    0    971 KBytes       
[  5]  89.00-90.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.13 MBytes       
