Connecting to host 35.221.118.215, port 5201
[  5] local 10.152.0.2 port 44332 connected to 35.221.118.215 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0    352 KBytes       
[  5]  48.00-49.00  sec  2.50 MBytes  21.0 Mbits/sec    0    353 KBytes       
[  5]  49.00-50.00  sec  3.75 MBytes  31.5 Mbits/sec    0    353 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    5    267 KBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    304 KBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0    331 KBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0    345 KBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0    352 KBytes       
[  5]  55.00-56.00  sec  2.50 MBytes  21.0 Mbits/sec    0    353 KBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    353 KBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec    0    355 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0    363 KBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0    377 KBytes       
[  5]  60.00-61.00  sec  2.50 MBytes  21.0 Mbits/sec    0    404 KBytes       
[  5]  61.00-62.00  sec  3.75 MBytes  31.5 Mbits/sec    0    448 KBytes       
[  5]  62.00-63.00  sec  5.00 MBytes  42.0 Mbits/sec    0    509 KBytes       
[  5]  63.00-64.00  sec  3.75 MBytes  31.4 Mbits/sec    0    588 KBytes       
[  5]  64.00-65.00  sec  5.00 MBytes  42.0 Mbits/sec    2    478 KBytes       
[  5]  65.00-66.00  sec  3.75 MBytes  31.5 Mbits/sec    0    539 KBytes       
[  5]  66.00-67.00  sec  5.00 MBytes  41.9 Mbits/sec    0    579 KBytes       
[  5]  67.00-68.00  sec  5.00 MBytes  41.9 Mbits/sec    7    439 KBytes       
[  5]  68.00-69.00  sec  2.50 MBytes  21.0 Mbits/sec   32    324 KBytes       
[  5]  69.00-70.00  sec  3.75 MBytes  31.5 Mbits/sec   50    249 KBytes       
[  5]  70.00-71.00  sec  2.50 MBytes  21.0 Mbits/sec    0    276 KBytes       
[  5]  71.00-72.00  sec  1.25 MBytes  10.5 Mbits/sec    8    210 KBytes       
[  5]  72.00-73.00  sec  2.50 MBytes  21.0 Mbits/sec    0    228 KBytes       
[  5]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    0    238 KBytes       
[  5]  74.00-75.00  sec  2.50 MBytes  21.0 Mbits/sec    0    239 KBytes       
[  5]  75.00-76.00  sec  2.50 MBytes  21.0 Mbits/sec    0    239 KBytes       
[  5]  76.00-77.00  sec  1.25 MBytes  10.5 Mbits/sec    0    239 KBytes       
[  5]  77.00-78.00  sec  2.50 MBytes  21.0 Mbits/sec    0    245 KBytes       
[  5]  78.00-79.00  sec  1.25 MBytes  10.5 Mbits/sec    0    257 KBytes       
[  5]  79.00-80.00  sec  2.50 MBytes  21.0 Mbits/sec    0    280 KBytes       
[  5]  80.00-81.00  sec  2.50 MBytes  21.0 Mbits/sec    0    316 KBytes       
[  5]  81.00-82.00  sec  2.50 MBytes  21.0 Mbits/sec   13    261 KBytes       
[  5]  82.00-83.00  sec  2.50 MBytes  21.0 Mbits/sec    0    294 KBytes       
[  5]  83.00-84.00  sec  2.50 MBytes  21.0 Mbits/sec   29    158 KBytes       
[  5]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0    175 KBytes       
[  5]  85.00-86.00  sec  1.25 MBytes  10.5 Mbits/sec    0    182 KBytes       
[  5]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0    183 KBytes       
[  5]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec    0    183 KBytes       
[  5]  88.00-89.00  sec  2.50 MBytes  21.0 Mbits/sec    0    184 KBytes       
[  5]  89.00-90.00  sec  1.25 MBytes  10.5 Mbits/sec    0    191 KBytes       
[  5]  90.00-91.00  sec  1.25 MBytes  10.5 Mbits/sec    0    205 KBytes       
[  5]  91.00-92.00  sec  2.50 MBytes  21.0 Mbits/sec    0    231 KBytes       
[  5]  92.00-93.00  sec  1.25 MBytes  10.5 Mbits/sec    0    270 KBytes       
[  5]  93.00-94.00  sec  2.50 MBytes  21.0 Mbits/sec    0    329 KBytes       
