Connecting to host 35.247.214.66, port 5201
[  5] local 10.152.0.2 port 37572 connected to 35.247.214.66 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0    316 KBytes       
[  5]  68.00-69.00  sec  1.25 MBytes  10.5 Mbits/sec    0    353 KBytes       
[  5]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec    0    375 KBytes       
[  5]  70.00-71.00  sec  1.25 MBytes  10.5 Mbits/sec    0    389 KBytes       
[  5]  71.00-72.00  sec  1.25 MBytes  10.5 Mbits/sec    0    393 KBytes       
[  5]  72.00-73.00  sec  1.25 MBytes  10.5 Mbits/sec   20    349 KBytes       
[  5]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    0    314 KBytes       
[  5]  74.00-75.00  sec  1.25 MBytes  10.5 Mbits/sec    0    359 KBytes       
[  5]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec  118    258 KBytes       
[  5]  76.00-77.00  sec  1.25 MBytes  10.5 Mbits/sec    0    285 KBytes       
[  5]  77.00-78.00  sec  1.25 MBytes  10.5 Mbits/sec    0    300 KBytes       
[  5]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0    308 KBytes       
[  5]  79.00-80.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  80.00-81.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec   14    221 KBytes       
[  5]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec    0    272 KBytes       
[  5]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0    292 KBytes       
[  5]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0    302 KBytes       
[  5]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0    308 KBytes       
[  5]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  88.00-89.00  sec  1.25 MBytes  10.5 Mbits/sec    0    311 KBytes       
[  5]  89.00-90.00  sec  1.25 MBytes  10.5 Mbits/sec    0    320 KBytes       
[  5]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0    341 KBytes       
[  5]  91.00-92.00  sec  1.25 MBytes  10.5 Mbits/sec    0    368 KBytes       
[  5]  92.00-93.00  sec  1.25 MBytes  10.5 Mbits/sec    0    414 KBytes       
[  5]  93.00-94.00  sec  2.50 MBytes  21.0 Mbits/sec    0    494 KBytes       
[  5]  94.00-95.00  sec  1.25 MBytes  10.5 Mbits/sec    0    580 KBytes       
[  5]  95.00-96.00  sec  1.25 MBytes  10.5 Mbits/sec    0    690 KBytes       
[  5]  96.00-97.00  sec  2.50 MBytes  21.0 Mbits/sec    0    817 KBytes       
[  5]  97.00-98.00  sec  2.50 MBytes  21.0 Mbits/sec    2    672 KBytes       
[  5]  98.00-99.00  sec  2.50 MBytes  21.0 Mbits/sec    0    738 KBytes       
[  5]  99.00-100.00 sec  2.50 MBytes  21.0 Mbits/sec    0    792 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   104 MBytes  8.75 Mbits/sec  1485             sender
[  5]   0.00-100.31 sec   102 MBytes  8.51 Mbits/sec                  receiver

iperf Done.
