PING 35.242.176.77 (35.242.176.77) 56(84) bytes of data.
64 bytes from 35.242.176.77: icmp_seq=82 ttl=53 time=75.7 ms
64 bytes from 35.242.176.77: icmp_seq=83 ttl=53 time=75.4 ms
64 bytes from 35.242.176.77: icmp_seq=84 ttl=53 time=75.5 ms
64 bytes from 35.242.176.77: icmp_seq=85 ttl=53 time=75.4 ms
64 bytes from 35.242.176.77: icmp_seq=86 ttl=53 time=75.7 ms
64 bytes from 35.242.176.77: icmp_seq=87 ttl=53 time=75.4 ms
64 bytes from 35.242.176.77: icmp_seq=88 ttl=53 time=75.3 ms
64 bytes from 35.242.176.77: icmp_seq=89 ttl=53 time=75.5 ms
64 bytes from 35.242.176.77: icmp_seq=90 ttl=53 time=75.5 ms
64 bytes from 35.242.176.77: icmp_seq=91 ttl=53 time=75.4 ms
64 bytes from 35.242.176.77: icmp_seq=92 ttl=53 time=75.4 ms
64 bytes from 35.242.176.77: icmp_seq=93 ttl=53 time=75.6 ms
64 bytes from 35.242.176.77: icmp_seq=94 ttl=53 time=75.5 ms
64 bytes from 35.242.176.77: icmp_seq=95 ttl=53 time=75.5 ms
64 bytes from 35.242.176.77: icmp_seq=96 ttl=53 time=75.3 ms
64 bytes from 35.242.176.77: icmp_seq=97 ttl=53 time=75.4 ms
64 bytes from 35.242.176.77: icmp_seq=98 ttl=53 time=75.5 ms
64 bytes from 35.242.176.77: icmp_seq=99 ttl=53 time=75.3 ms
64 bytes from 35.242.176.77: icmp_seq=100 ttl=53 time=75.4 ms

--- 35.242.176.77 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99141ms
rtt min/avg/max/mdev = 75.330/75.597/80.363/0.616 ms
