PING 35.245.150.179 (35.245.150.179) 56(84) bytes of data.
64 bytes from 35.245.150.179: icmp_seq=52 ttl=56 time=1.69 ms
64 bytes from 35.245.150.179: icmp_seq=53 ttl=56 time=1.86 ms
64 bytes from 35.245.150.179: icmp_seq=54 ttl=56 time=1.89 ms
64 bytes from 35.245.150.179: icmp_seq=55 ttl=56 time=1.71 ms
64 bytes from 35.245.150.179: icmp_seq=56 ttl=56 time=1.86 ms
64 bytes from 35.245.150.179: icmp_seq=57 ttl=56 time=2.00 ms
64 bytes from 35.245.150.179: icmp_seq=58 ttl=56 time=2.04 ms
64 bytes from 35.245.150.179: icmp_seq=59 ttl=56 time=2.04 ms
64 bytes from 35.245.150.179: icmp_seq=60 ttl=56 time=2.24 ms
64 bytes from 35.245.150.179: icmp_seq=61 ttl=56 time=1.96 ms
64 bytes from 35.245.150.179: icmp_seq=62 ttl=56 time=1.83 ms
64 bytes from 35.245.150.179: icmp_seq=63 ttl=56 time=1.81 ms
64 bytes from 35.245.150.179: icmp_seq=64 ttl=56 time=1.60 ms
64 bytes from 35.245.150.179: icmp_seq=65 ttl=56 time=1.54 ms
64 bytes from 35.245.150.179: icmp_seq=66 ttl=56 time=1.95 ms
64 bytes from 35.245.150.179: icmp_seq=67 ttl=56 time=2.08 ms
64 bytes from 35.245.150.179: icmp_seq=68 ttl=56 time=2.25 ms
64 bytes from 35.245.150.179: icmp_seq=69 ttl=56 time=2.73 ms
64 bytes from 35.245.150.179: icmp_seq=70 ttl=56 time=2.49 ms
64 bytes from 35.245.150.179: icmp_seq=71 ttl=56 time=2.05 ms
64 bytes from 35.245.150.179: icmp_seq=72 ttl=56 time=1.61 ms
64 bytes from 35.245.150.179: icmp_seq=73 ttl=56 time=1.87 ms
64 bytes from 35.245.150.179: icmp_seq=74 ttl=56 time=1.73 ms
64 bytes from 35.245.150.179: icmp_seq=75 ttl=56 time=2.02 ms
64 bytes from 35.245.150.179: icmp_seq=76 ttl=56 time=2.98 ms
64 bytes from 35.245.150.179: icmp_seq=77 ttl=56 time=2.07 ms
64 bytes from 35.245.150.179: icmp_seq=78 ttl=56 time=2.12 ms
64 bytes from 35.245.150.179: icmp_seq=79 ttl=56 time=2.73 ms
64 bytes from 35.245.150.179: icmp_seq=80 ttl=56 time=1.72 ms
64 bytes from 35.245.150.179: icmp_seq=81 ttl=56 time=2.03 ms
64 bytes from 35.245.150.179: icmp_seq=82 ttl=56 time=1.96 ms
64 bytes from 35.245.150.179: icmp_seq=83 ttl=56 time=1.80 ms
64 bytes from 35.245.150.179: icmp_seq=84 ttl=56 time=2.55 ms
64 bytes from 35.245.150.179: icmp_seq=85 ttl=56 time=1.76 ms
64 bytes from 35.245.150.179: icmp_seq=86 ttl=56 time=2.02 ms
64 bytes from 35.245.150.179: icmp_seq=87 ttl=56 time=1.87 ms
64 bytes from 35.245.150.179: icmp_seq=88 ttl=56 time=2.04 ms
64 bytes from 35.245.150.179: icmp_seq=89 ttl=56 time=1.68 ms
64 bytes from 35.245.150.179: icmp_seq=90 ttl=56 time=1.63 ms
64 bytes from 35.245.150.179: icmp_seq=91 ttl=56 time=1.83 ms
64 bytes from 35.245.150.179: icmp_seq=92 ttl=56 time=2.07 ms
64 bytes from 35.245.150.179: icmp_seq=93 ttl=56 time=2.23 ms
64 bytes from 35.245.150.179: icmp_seq=94 ttl=56 time=1.75 ms
64 bytes from 35.245.150.179: icmp_seq=95 ttl=56 time=2.46 ms
64 bytes from 35.245.150.179: icmp_seq=96 ttl=56 time=1.84 ms
64 bytes from 35.245.150.179: icmp_seq=97 ttl=56 time=1.65 ms
64 bytes from 35.245.150.179: icmp_seq=98 ttl=56 time=1.97 ms
64 bytes from 35.245.150.179: icmp_seq=99 ttl=56 time=1.84 ms
64 bytes from 35.245.150.179: icmp_seq=100 ttl=56 time=2.04 ms

--- 35.245.150.179 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99151ms
rtt min/avg/max/mdev = 1.545/1.938/3.213/0.317 ms
