PING 35.242.176.77 (35.242.176.77) 56(84) bytes of data.
64 bytes from 35.242.176.77: icmp_seq=82 ttl=59 time=2.27 ms
64 bytes from 35.242.176.77: icmp_seq=83 ttl=59 time=2.31 ms
64 bytes from 35.242.176.77: icmp_seq=84 ttl=59 time=2.38 ms
64 bytes from 35.242.176.77: icmp_seq=85 ttl=59 time=2.28 ms
64 bytes from 35.242.176.77: icmp_seq=86 ttl=59 time=2.28 ms
64 bytes from 35.242.176.77: icmp_seq=87 ttl=59 time=2.33 ms
64 bytes from 35.242.176.77: icmp_seq=88 ttl=59 time=2.44 ms
64 bytes from 35.242.176.77: icmp_seq=89 ttl=59 time=2.80 ms
64 bytes from 35.242.176.77: icmp_seq=90 ttl=59 time=2.37 ms
64 bytes from 35.242.176.77: icmp_seq=91 ttl=59 time=2.52 ms
64 bytes from 35.242.176.77: icmp_seq=92 ttl=59 time=2.67 ms
64 bytes from 35.242.176.77: icmp_seq=93 ttl=59 time=2.36 ms
64 bytes from 35.242.176.77: icmp_seq=94 ttl=59 time=2.24 ms
64 bytes from 35.242.176.77: icmp_seq=95 ttl=59 time=2.44 ms
64 bytes from 35.242.176.77: icmp_seq=96 ttl=59 time=2.58 ms
64 bytes from 35.242.176.77: icmp_seq=97 ttl=59 time=2.72 ms
64 bytes from 35.242.176.77: icmp_seq=98 ttl=59 time=2.61 ms
64 bytes from 35.242.176.77: icmp_seq=99 ttl=59 time=2.40 ms
64 bytes from 35.242.176.77: icmp_seq=100 ttl=59 time=2.48 ms

--- 35.242.176.77 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99151ms
rtt min/avg/max/mdev = 2.245/2.477/4.364/0.292 ms
