PING 52.47.137.100 (52.47.137.100) 56(84) bytes of data.
64 bytes from 52.47.137.100: icmp_seq=1 ttl=46 time=7.86 ms
64 bytes from 52.47.137.100: icmp_seq=2 ttl=46 time=7.82 ms
64 bytes from 52.47.137.100: icmp_seq=3 ttl=46 time=8.16 ms
64 bytes from 52.47.137.100: icmp_seq=4 ttl=46 time=7.80 ms
64 bytes from 52.47.137.100: icmp_seq=5 ttl=46 time=7.77 ms
64 bytes from 52.47.137.100: icmp_seq=6 ttl=46 time=7.77 ms
64 bytes from 52.47.137.100: icmp_seq=7 ttl=46 time=7.81 ms
64 bytes from 52.47.137.100: icmp_seq=8 ttl=46 time=7.81 ms
64 bytes from 52.47.137.100: icmp_seq=9 ttl=46 time=8.11 ms
64 bytes from 52.47.137.100: icmp_seq=10 ttl=46 time=7.83 ms
64 bytes from 52.47.137.100: icmp_seq=11 ttl=46 time=8.06 ms
64 bytes from 52.47.137.100: icmp_seq=12 ttl=46 time=7.80 ms
64 bytes from 52.47.137.100: icmp_seq=13 ttl=46 time=7.82 ms
64 bytes from 52.47.137.100: icmp_seq=14 ttl=46 time=7.91 ms
64 bytes from 52.47.137.100: icmp_seq=15 ttl=46 time=7.90 ms
64 bytes from 52.47.137.100: icmp_seq=16 ttl=46 time=8.14 ms
64 bytes from 52.47.137.100: icmp_seq=17 ttl=46 time=7.93 ms
64 bytes from 52.47.137.100: icmp_seq=18 ttl=46 time=7.87 ms
64 bytes from 52.47.137.100: icmp_seq=19 ttl=46 time=7.93 ms
64 bytes from 52.47.137.100: icmp_seq=20 ttl=46 time=7.83 ms
64 bytes from 52.47.137.100: icmp_seq=21 ttl=46 time=7.86 ms
64 bytes from 52.47.137.100: icmp_seq=22 ttl=46 time=7.92 ms
64 bytes from 52.47.137.100: icmp_seq=23 ttl=46 time=7.82 ms
64 bytes from 52.47.137.100: icmp_seq=24 ttl=46 time=7.79 ms
64 bytes from 52.47.137.100: icmp_seq=25 ttl=46 time=7.83 ms
64 bytes from 52.47.137.100: icmp_seq=26 ttl=46 time=8.01 ms
64 bytes from 52.47.137.100: icmp_seq=27 ttl=46 time=7.95 ms
64 bytes from 52.47.137.100: icmp_seq=28 ttl=46 time=8.07 ms
64 bytes from 52.47.137.100: icmp_seq=29 ttl=46 time=8.08 ms
64 bytes from 52.47.137.100: icmp_seq=30 ttl=46 time=7.80 ms
64 bytes from 52.47.137.100: icmp_seq=31 ttl=46 time=7.77 ms
64 bytes from 52.47.137.100: icmp_seq=32 ttl=46 time=7.79 ms
64 bytes from 52.47.137.100: icmp_seq=33 ttl=46 time=7.78 ms
64 bytes from 52.47.137.100: icmp_seq=34 ttl=46 time=7.78 ms
64 bytes from 52.47.137.100: icmp_seq=35 ttl=46 time=8.19 ms
64 bytes from 52.47.137.100: icmp_seq=36 ttl=46 time=8.41 ms
64 bytes from 52.47.137.100: icmp_seq=37 ttl=46 time=7.93 ms
64 bytes from 52.47.137.100: icmp_seq=38 ttl=46 time=7.77 ms
64 bytes from 52.47.137.100: icmp_seq=39 ttl=46 time=7.78 ms
64 bytes from 52.47.137.100: icmp_seq=40 ttl=46 time=7.82 ms
64 bytes from 52.47.137.100: icmp_seq=41 ttl=46 time=7.99 ms
64 bytes from 52.47.137.100: icmp_seq=42 ttl=46 time=7.78 ms
64 bytes from 52.47.137.100: icmp_seq=43 ttl=46 time=7.87 ms
64 bytes from 52.47.137.100: icmp_seq=44 ttl=46 time=7.81 ms
64 bytes from 52.47.137.100: icmp_seq=45 ttl=46 time=8.09 ms
64 bytes from 52.47.137.100: icmp_seq=46 ttl=46 time=7.96 ms
64 bytes from 52.47.137.100: icmp_seq=47 ttl=46 time=7.81 ms
64 bytes from 52.47.137.100: icmp_seq=48 ttl=46 time=7.87 ms
64 bytes from 52.47.137.100: icmp_seq=49 ttl=46 time=7.80 ms
64 bytes from 52.47.137.100: icmp_seq=50 ttl=46 time=7.81 ms
