Connecting to host 3.8.16.233, port 5201
[  5] local 172.31.43.179 port 55104 connected to 3.8.16.233 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  16.2 MBytes   136 Mbits/sec    0   1.48 MBytes       
[  5]  67.00-68.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  68.00-69.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  69.00-70.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  70.00-71.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  71.00-72.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  72.00-73.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  73.00-74.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  74.00-75.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  75.00-76.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  76.00-77.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  77.00-78.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  78.00-79.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  79.00-80.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  80.00-81.00  sec  17.5 MBytes   147 Mbits/sec    0   1.52 MBytes       
[  5]  81.00-82.00  sec  10.0 MBytes  83.9 Mbits/sec  344    796 KBytes       
[  5]  82.00-83.00  sec  8.75 MBytes  73.4 Mbits/sec    0    851 KBytes       
[  5]  83.00-84.00  sec  10.0 MBytes  83.9 Mbits/sec   18    632 KBytes       
[  5]  84.00-85.00  sec  7.50 MBytes  62.9 Mbits/sec    0    682 KBytes       
[  5]  85.00-86.00  sec  7.50 MBytes  62.9 Mbits/sec    0    711 KBytes       
[  5]  86.00-87.00  sec  8.75 MBytes  73.4 Mbits/sec    0    732 KBytes       
[  5]  87.00-88.00  sec  7.50 MBytes  62.9 Mbits/sec    0    741 KBytes       
[  5]  88.00-89.00  sec  8.75 MBytes  73.4 Mbits/sec    0    744 KBytes       
[  5]  89.00-90.00  sec  8.75 MBytes  73.4 Mbits/sec    0    744 KBytes       
