Connecting to host 3.122.54.42, port 5201
[  5] local 10.154.0.2 port 38062 connected to 3.122.54.42 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  3.75 MBytes  31.5 Mbits/sec    1    104 KBytes       
[  5]  67.00-68.00  sec  5.00 MBytes  42.0 Mbits/sec    0    136 KBytes       
[  5]  68.00-69.00  sec  6.25 MBytes  52.4 Mbits/sec    0    166 KBytes       
[  5]  69.00-70.00  sec  7.50 MBytes  62.9 Mbits/sec    0    197 KBytes       
[  5]  70.00-71.00  sec  8.75 MBytes  73.4 Mbits/sec    0    228 KBytes       
[  5]  71.00-72.00  sec  10.0 MBytes  83.9 Mbits/sec    2    184 KBytes       
[  5]  72.00-73.00  sec  6.25 MBytes  52.4 Mbits/sec    1    155 KBytes       
[  5]  73.00-74.00  sec  6.25 MBytes  52.4 Mbits/sec    1    138 KBytes       
[  5]  74.00-75.00  sec  6.25 MBytes  52.4 Mbits/sec    0    166 KBytes       
[  5]  75.00-76.00  sec  7.50 MBytes  62.9 Mbits/sec    0    197 KBytes       
[  5]  76.00-77.00  sec  8.75 MBytes  73.4 Mbits/sec    0    228 KBytes       
[  5]  77.00-78.00  sec  10.0 MBytes  83.9 Mbits/sec   18    129 KBytes       
[  5]  78.00-79.00  sec  5.00 MBytes  41.9 Mbits/sec    1    110 KBytes       
[  5]  79.00-80.00  sec  5.00 MBytes  41.9 Mbits/sec    0    142 KBytes       
[  5]  80.00-81.00  sec  6.25 MBytes  52.4 Mbits/sec    3    122 KBytes       
[  5]  81.00-82.00  sec  6.25 MBytes  52.4 Mbits/sec    0    151 KBytes       
[  5]  82.00-83.00  sec  7.50 MBytes  62.9 Mbits/sec    0    182 KBytes       
[  5]  83.00-84.00  sec  7.50 MBytes  62.9 Mbits/sec    0    214 KBytes       
[  5]  84.00-85.00  sec  8.75 MBytes  73.4 Mbits/sec    1    176 KBytes       
[  5]  85.00-86.00  sec  7.50 MBytes  62.9 Mbits/sec    1    144 KBytes       
[  5]  86.00-87.00  sec  7.50 MBytes  62.9 Mbits/sec    0    175 KBytes       
[  5]  87.00-88.00  sec  7.50 MBytes  62.9 Mbits/sec    0    206 KBytes       
[  5]  88.00-89.00  sec  8.75 MBytes  73.4 Mbits/sec    0    236 KBytes       
