Connecting to host 35.244.67.82, port 5201
[  5] local 172.31.20.153 port 57060 connected to 35.244.67.82 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  6.92 MBytes  58.0 Mbits/sec    0    777 KBytes       
[  5]  67.00-68.00  sec  8.03 MBytes  67.4 Mbits/sec    9    600 KBytes       
[  5]  68.00-69.00  sec  7.04 MBytes  59.1 Mbits/sec    0    675 KBytes       
[  5]  69.00-70.00  sec  5.31 MBytes  44.6 Mbits/sec    8    516 KBytes       
[  5]  70.00-71.00  sec  5.00 MBytes  42.0 Mbits/sec    0    550 KBytes       
[  5]  71.00-72.00  sec  6.79 MBytes  57.0 Mbits/sec    0    572 KBytes       
[  5]  72.00-73.00  sec  5.99 MBytes  50.3 Mbits/sec    0    583 KBytes       
[  5]  73.00-74.00  sec  5.93 MBytes  49.7 Mbits/sec    0    587 KBytes       
[  5]  74.00-75.00  sec  5.93 MBytes  49.7 Mbits/sec    0    587 KBytes       
[  5]  75.00-76.00  sec  6.11 MBytes  51.3 Mbits/sec    0    587 KBytes       
[  5]  76.00-77.00  sec  5.93 MBytes  49.7 Mbits/sec    0    591 KBytes       
[  5]  77.00-78.00  sec  5.87 MBytes  49.2 Mbits/sec    0    601 KBytes       
[  5]  78.00-79.00  sec  5.93 MBytes  49.7 Mbits/sec    0    620 KBytes       
[  5]  79.00-80.00  sec  6.79 MBytes  57.0 Mbits/sec    0    653 KBytes       
[  5]  80.00-81.00  sec  7.04 MBytes  59.1 Mbits/sec    0    703 KBytes       
[  5]  81.00-82.00  sec  7.91 MBytes  66.3 Mbits/sec    0    770 KBytes       
[  5]  82.00-83.00  sec  6.18 MBytes  51.8 Mbits/sec    7    601 KBytes       
[  5]  83.00-84.00  sec  6.98 MBytes  58.6 Mbits/sec    0    675 KBytes       
[  5]  84.00-85.00  sec  7.10 MBytes  59.6 Mbits/sec    0    726 KBytes       
[  5]  85.00-86.00  sec  7.97 MBytes  66.8 Mbits/sec    0    760 KBytes       
[  5]  86.00-87.00  sec  7.36 MBytes  61.8 Mbits/sec   40    554 KBytes       
[  5]  87.00-88.00  sec  5.92 MBytes  49.6 Mbits/sec    0    597 KBytes       
[  5]  88.00-89.00  sec  6.98 MBytes  58.6 Mbits/sec    0    630 KBytes       
[  5]  89.00-90.00  sec  5.99 MBytes  50.3 Mbits/sec    0    648 KBytes       
[  5]  90.00-91.00  sec  6.86 MBytes  57.5 Mbits/sec    0    659 KBytes       
[  5]  91.00-92.00  sec  6.98 MBytes  58.6 Mbits/sec    0    661 KBytes       
[  5]  92.00-93.00  sec  6.98 MBytes  58.5 Mbits/sec    0    661 KBytes       
[  5]  93.00-94.00  sec  6.98 MBytes  58.6 Mbits/sec    0    661 KBytes       
[  5]  94.00-95.00  sec  6.79 MBytes  57.0 Mbits/sec    0    667 KBytes       
[  5]  95.00-96.00  sec  6.86 MBytes  57.5 Mbits/sec    0    678 KBytes       
[  5]  96.00-97.00  sec  6.92 MBytes  58.0 Mbits/sec    0    698 KBytes       
[  5]  97.00-98.00  sec  6.86 MBytes  57.5 Mbits/sec    0    733 KBytes       
[  5]  98.00-99.00  sec  7.84 MBytes  65.8 Mbits/sec    0    786 KBytes       
[  5]  99.00-100.00 sec  9.14 MBytes  76.7 Mbits/sec    0    858 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   676 MBytes  56.7 Mbits/sec  369             sender
[  5]   0.00-100.09 sec   674 MBytes  56.5 Mbits/sec                  receiver

iperf Done.
