PING 35.240.239.67 (35.240.239.67) 56(84) bytes of data.
64 bytes from 35.240.239.67: icmp_seq=80 ttl=50 time=2.07 ms
64 bytes from 35.240.239.67: icmp_seq=81 ttl=50 time=2.04 ms
64 bytes from 35.240.239.67: icmp_seq=82 ttl=50 time=1.96 ms
64 bytes from 35.240.239.67: icmp_seq=83 ttl=50 time=1.90 ms
64 bytes from 35.240.239.67: icmp_seq=84 ttl=50 time=2.09 ms
64 bytes from 35.240.239.67: icmp_seq=85 ttl=50 time=1.88 ms
64 bytes from 35.240.239.67: icmp_seq=86 ttl=50 time=2.02 ms
64 bytes from 35.240.239.67: icmp_seq=87 ttl=50 time=1.86 ms
64 bytes from 35.240.239.67: icmp_seq=88 ttl=50 time=2.01 ms
64 bytes from 35.240.239.67: icmp_seq=89 ttl=50 time=2.02 ms
64 bytes from 35.240.239.67: icmp_seq=90 ttl=50 time=1.99 ms
64 bytes from 35.240.239.67: icmp_seq=91 ttl=50 time=2.15 ms
64 bytes from 35.240.239.67: icmp_seq=92 ttl=50 time=1.90 ms
64 bytes from 35.240.239.67: icmp_seq=93 ttl=50 time=1.92 ms
64 bytes from 35.240.239.67: icmp_seq=94 ttl=50 time=2.08 ms
64 bytes from 35.240.239.67: icmp_seq=95 ttl=50 time=2.02 ms
64 bytes from 35.240.239.67: icmp_seq=96 ttl=50 time=1.92 ms
64 bytes from 35.240.239.67: icmp_seq=97 ttl=50 time=2.09 ms
64 bytes from 35.240.239.67: icmp_seq=98 ttl=50 time=1.94 ms
64 bytes from 35.240.239.67: icmp_seq=99 ttl=50 time=1.96 ms
64 bytes from 35.240.239.67: icmp_seq=100 ttl=50 time=1.90 ms

--- 35.240.239.67 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99140ms
rtt min/avg/max/mdev = 1.863/2.032/3.228/0.170 ms
