Connecting to host 35.221.118.215, port 5201
[  5] local 172.31.20.153 port 51218 connected to 35.221.118.215 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  7.50 MBytes  62.9 Mbits/sec    0    495 KBytes       
[  5]  67.00-68.00  sec  6.25 MBytes  52.4 Mbits/sec    0    505 KBytes       
[  5]  68.00-69.00  sec  7.50 MBytes  62.9 Mbits/sec    0    507 KBytes       
[  5]  69.00-70.00  sec  6.25 MBytes  52.4 Mbits/sec    0    507 KBytes       
[  5]  70.00-71.00  sec  7.50 MBytes  62.9 Mbits/sec    0    507 KBytes       
[  5]  71.00-72.00  sec  7.50 MBytes  62.9 Mbits/sec    0    512 KBytes       
[  5]  72.00-73.00  sec  7.50 MBytes  62.9 Mbits/sec    0    522 KBytes       
[  5]  73.00-74.00  sec  6.25 MBytes  52.4 Mbits/sec    0    543 KBytes       
[  5]  74.00-75.00  sec  8.75 MBytes  73.4 Mbits/sec    0    578 KBytes       
[  5]  75.00-76.00  sec  7.50 MBytes  62.9 Mbits/sec    0    628 KBytes       
[  5]  76.00-77.00  sec  10.0 MBytes  83.9 Mbits/sec    0    703 KBytes       
[  5]  77.00-78.00  sec  10.0 MBytes  83.9 Mbits/sec    0    793 KBytes       
[  5]  78.00-79.00  sec  12.5 MBytes   105 Mbits/sec    0    912 KBytes       
[  5]  79.00-80.00  sec  13.8 MBytes   115 Mbits/sec    0   1.04 MBytes       
[  5]  80.00-81.00  sec  15.0 MBytes   126 Mbits/sec   19    866 KBytes       
[  5]  81.00-82.00  sec  13.8 MBytes   115 Mbits/sec    0    975 KBytes       
[  5]  82.00-83.00  sec  13.8 MBytes   115 Mbits/sec    0   1.03 MBytes       
[  5]  83.00-84.00  sec  11.2 MBytes  94.4 Mbits/sec   25    798 KBytes       
[  5]  84.00-85.00  sec  11.2 MBytes  94.4 Mbits/sec   16    594 KBytes       
[  5]  85.00-86.00  sec  7.50 MBytes  62.9 Mbits/sec    0    644 KBytes       
[  5]  86.00-87.00  sec  10.0 MBytes  83.9 Mbits/sec    0    675 KBytes       
[  5]  87.00-88.00  sec  10.0 MBytes  83.9 Mbits/sec    0    696 KBytes       
