Connecting to host 35.197.57.246, port 5201
[  5] local 172.31.20.153 port 38336 connected to 35.197.57.246 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  64.00-65.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.04 MBytes       
[  5]  65.00-66.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.08 MBytes       
[  5]  66.00-67.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.13 MBytes       
[  5]  67.00-68.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.20 MBytes       
[  5]  68.00-69.00  sec  7.50 MBytes  62.9 Mbits/sec    2    914 KBytes       
[  5]  69.00-70.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1019 KBytes       
[  5]  70.00-71.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.09 MBytes       
[  5]  71.00-72.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.16 MBytes       
[  5]  72.00-73.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.21 MBytes       
[  5]  73.00-74.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.24 MBytes       
[  5]  74.00-75.00  sec  7.50 MBytes  62.9 Mbits/sec   29    902 KBytes       
[  5]  75.00-76.00  sec  5.00 MBytes  41.9 Mbits/sec   17    681 KBytes       
[  5]  76.00-77.00  sec  3.75 MBytes  31.5 Mbits/sec    0    720 KBytes       
[  5]  77.00-78.00  sec  5.00 MBytes  41.9 Mbits/sec    0    748 KBytes       
[  5]  78.00-79.00  sec  5.00 MBytes  41.9 Mbits/sec    0    763 KBytes       
[  5]  79.00-80.00  sec  5.00 MBytes  41.9 Mbits/sec    0    770 KBytes       
[  5]  80.00-81.00  sec  5.00 MBytes  41.9 Mbits/sec    0    771 KBytes       
[  5]  81.00-82.00  sec  5.00 MBytes  41.9 Mbits/sec    0    771 KBytes       
[  5]  82.00-83.00  sec  5.00 MBytes  41.9 Mbits/sec    0    773 KBytes       
[  5]  83.00-84.00  sec  5.00 MBytes  41.9 Mbits/sec    0    780 KBytes       
[  5]  84.00-85.00  sec  5.00 MBytes  41.9 Mbits/sec    0    795 KBytes       
[  5]  85.00-86.00  sec  5.00 MBytes  41.9 Mbits/sec    0    820 KBytes       
[  5]  86.00-87.00  sec  5.00 MBytes  41.9 Mbits/sec    0    864 KBytes       
[  5]  87.00-88.00  sec  6.25 MBytes  52.4 Mbits/sec    0    918 KBytes       
[  5]  88.00-89.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1002 KBytes       
[  5]  89.00-90.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.09 MBytes       
[  5]  90.00-91.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.21 MBytes       
[  5]  91.00-92.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.38 MBytes       
[  5]  92.00-93.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.57 MBytes       
[  5]  93.00-94.00  sec  6.25 MBytes  52.4 Mbits/sec  277    824 KBytes       
[  5]  94.00-95.00  sec  5.00 MBytes  41.9 Mbits/sec    0    879 KBytes       
[  5]  95.00-96.00  sec  6.25 MBytes  52.4 Mbits/sec    0    920 KBytes       
[  5]  96.00-97.00  sec  5.00 MBytes  41.9 Mbits/sec    0    945 KBytes       
[  5]  97.00-98.00  sec  7.50 MBytes  62.9 Mbits/sec    0    960 KBytes       
[  5]  98.00-99.00  sec  5.00 MBytes  41.9 Mbits/sec    0    967 KBytes       
[  5]  99.00-100.00 sec  6.25 MBytes  52.4 Mbits/sec   19    734 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   639 MBytes  53.6 Mbits/sec  1129             sender
[  5]   0.00-100.15 sec   637 MBytes  53.3 Mbits/sec                  receiver

iperf Done.
