Connecting to host 13.233.231.202, port 5201
[  5] local 10.148.0.2 port 42458 connected to 13.233.231.202 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  67.00-68.00  sec  12.5 MBytes   105 Mbits/sec    0    760 KBytes       
[  5]  68.00-69.00  sec  11.2 MBytes  94.4 Mbits/sec    0    773 KBytes       
[  5]  69.00-70.00  sec  12.5 MBytes   105 Mbits/sec    0    778 KBytes       
[  5]  70.00-71.00  sec  11.2 MBytes  94.4 Mbits/sec    0    778 KBytes       
[  5]  71.00-72.00  sec  12.5 MBytes   105 Mbits/sec    0    778 KBytes       
[  5]  72.00-73.00  sec  12.5 MBytes   105 Mbits/sec    0    781 KBytes       
[  5]  73.00-74.00  sec  11.2 MBytes  94.4 Mbits/sec    0    789 KBytes       
[  5]  74.00-75.00  sec  12.5 MBytes   105 Mbits/sec    0    807 KBytes       
[  5]  75.00-76.00  sec  13.8 MBytes   115 Mbits/sec    0    836 KBytes       
[  5]  76.00-77.00  sec  12.5 MBytes   105 Mbits/sec    0    881 KBytes       
[  5]  77.00-78.00  sec  13.8 MBytes   115 Mbits/sec    0    945 KBytes       
[  5]  78.00-79.00  sec  16.2 MBytes   136 Mbits/sec    0   1.01 MBytes       
[  5]  79.00-80.00  sec  15.0 MBytes   126 Mbits/sec  107    792 KBytes       
[  5]  80.00-81.00  sec  10.0 MBytes  83.9 Mbits/sec   94    602 KBytes       
[  5]  81.00-82.00  sec  10.0 MBytes  83.9 Mbits/sec    0    637 KBytes       
[  5]  82.00-83.00  sec  7.50 MBytes  62.9 Mbits/sec   76    477 KBytes       
[  5]  83.00-84.00  sec  8.75 MBytes  73.4 Mbits/sec    0    512 KBytes       
[  5]  84.00-85.00  sec  7.50 MBytes  62.9 Mbits/sec    0    534 KBytes       
[  5]  85.00-86.00  sec  8.75 MBytes  73.4 Mbits/sec    0    544 KBytes       
[  5]  86.00-87.00  sec  8.75 MBytes  73.4 Mbits/sec    0    549 KBytes       
[  5]  87.00-88.00  sec  7.50 MBytes  62.9 Mbits/sec    0    549 KBytes       
[  5]  88.00-89.00  sec  8.75 MBytes  73.4 Mbits/sec    0    549 KBytes       
[  5]  89.00-90.00  sec  8.75 MBytes  73.4 Mbits/sec    0    551 KBytes       
[  5]  90.00-91.00  sec  8.75 MBytes  73.4 Mbits/sec    0    562 KBytes       
[  5]  91.00-92.00  sec  8.75 MBytes  73.4 Mbits/sec    0    580 KBytes       
[  5]  92.00-93.00  sec  8.75 MBytes  73.4 Mbits/sec    0    613 KBytes       
[  5]  93.00-94.00  sec  10.0 MBytes  83.9 Mbits/sec    0    661 KBytes       
[  5]  94.00-95.00  sec  11.2 MBytes  94.4 Mbits/sec    0    729 KBytes       
[  5]  95.00-96.00  sec  11.2 MBytes  94.4 Mbits/sec    0    820 KBytes       
[  5]  96.00-97.00  sec  12.5 MBytes   105 Mbits/sec   99    650 KBytes       
[  5]  97.00-98.00  sec  11.2 MBytes  94.4 Mbits/sec    0    738 KBytes       
[  5]  98.00-99.00  sec  12.5 MBytes   105 Mbits/sec    0    803 KBytes       
[  5]  99.00-100.00 sec  12.5 MBytes   105 Mbits/sec    0    848 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec  1.15 GBytes  98.5 Mbits/sec  2741             sender
[  5]   0.00-100.07 sec  1.14 GBytes  98.2 Mbits/sec                  receiver

iperf Done.
