Connecting to host 54.169.96.154, port 5201
[  5] local 10.146.0.2 port 59570 connected to 54.169.96.154 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  62.00-63.00  sec  12.5 MBytes   105 Mbits/sec    0    925 KBytes       
[  5]  63.00-64.00  sec  13.8 MBytes   115 Mbits/sec    0   1.01 MBytes       
[  5]  64.00-65.00  sec  12.5 MBytes   105 Mbits/sec  169    807 KBytes       
[  5]  65.00-66.00  sec  11.2 MBytes  94.4 Mbits/sec    0    899 KBytes       
[  5]  66.00-67.00  sec  13.8 MBytes   115 Mbits/sec    0    967 KBytes       
[  5]  67.00-68.00  sec  13.8 MBytes   115 Mbits/sec    0   1013 KBytes       
[  5]  68.00-69.00  sec  13.8 MBytes   115 Mbits/sec    0   1.02 MBytes       
[  5]  69.00-70.00  sec  15.0 MBytes   126 Mbits/sec    0   1.04 MBytes       
[  5]  70.00-71.00  sec  15.0 MBytes   126 Mbits/sec    0   1.05 MBytes       
[  5]  71.00-72.00  sec  15.0 MBytes   126 Mbits/sec    0   1.05 MBytes       
[  5]  72.00-73.00  sec  15.0 MBytes   126 Mbits/sec    0   1.05 MBytes       
[  5]  73.00-74.00  sec  15.0 MBytes   126 Mbits/sec    0   1.05 MBytes       
[  5]  74.00-75.00  sec  15.0 MBytes   126 Mbits/sec    0   1.06 MBytes       
[  5]  75.00-76.00  sec  15.0 MBytes   126 Mbits/sec    0   1.07 MBytes       
[  5]  76.00-77.00  sec  16.2 MBytes   136 Mbits/sec    0   1.09 MBytes       
[  5]  77.00-78.00  sec  15.0 MBytes   126 Mbits/sec    0   1.12 MBytes       
[  5]  78.00-79.00  sec  16.2 MBytes   136 Mbits/sec    0   1.17 MBytes       
[  5]  79.00-80.00  sec  17.5 MBytes   147 Mbits/sec    0   1.25 MBytes       
[  5]  80.00-81.00  sec  10.0 MBytes  83.9 Mbits/sec  327    668 KBytes       
[  5]  81.00-82.00  sec  10.0 MBytes  83.9 Mbits/sec    0    712 KBytes       
[  5]  82.00-83.00  sec  10.0 MBytes  83.9 Mbits/sec    0    738 KBytes       
[  5]  83.00-84.00  sec  10.0 MBytes  83.9 Mbits/sec    0    756 KBytes       
[  5]  84.00-85.00  sec  11.2 MBytes  94.4 Mbits/sec    0    763 KBytes       
[  5]  85.00-86.00  sec  10.0 MBytes  83.9 Mbits/sec    0    764 KBytes       
[  5]  86.00-87.00  sec  11.2 MBytes  94.4 Mbits/sec    0    764 KBytes       
[  5]  87.00-88.00  sec  10.0 MBytes  83.9 Mbits/sec    0    766 KBytes       
[  5]  88.00-89.00  sec  11.2 MBytes  94.4 Mbits/sec    0    771 KBytes       
[  5]  89.00-90.00  sec  11.2 MBytes  94.4 Mbits/sec    0    786 KBytes       
[  5]  90.00-91.00  sec  10.0 MBytes  83.9 Mbits/sec    0    811 KBytes       
[  5]  91.00-92.00  sec  12.5 MBytes   105 Mbits/sec    0    851 KBytes       
[  5]  92.00-93.00  sec  11.2 MBytes  94.4 Mbits/sec    0    909 KBytes       
[  5]  93.00-94.00  sec  13.8 MBytes   115 Mbits/sec    0    990 KBytes       
[  5]  94.00-95.00  sec  15.0 MBytes   126 Mbits/sec    0   1.07 MBytes       
[  5]  95.00-96.00  sec  10.0 MBytes  83.9 Mbits/sec  110    582 KBytes       
[  5]  96.00-97.00  sec  7.50 MBytes  62.9 Mbits/sec    0    622 KBytes       
[  5]  97.00-98.00  sec  8.75 MBytes  73.4 Mbits/sec    0    648 KBytes       
[  5]  98.00-99.00  sec  10.0 MBytes  83.9 Mbits/sec    0    663 KBytes       
[  5]  99.00-100.00 sec  8.75 MBytes  73.4 Mbits/sec    0    668 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec  1.33 GBytes   114 Mbits/sec  3011             sender
[  5]   0.00-100.07 sec  1.33 GBytes   114 Mbits/sec                  receiver

iperf Done.
