Connecting to host 3.8.167.46, port 5201
[  5] local 10.150.0.2 port 54942 connected to 3.8.167.46 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  13.8 MBytes   115 Mbits/sec   56    485 KBytes       
[  5]  67.00-68.00  sec  8.75 MBytes  73.4 Mbits/sec  281    674 KBytes       
[  5]  68.00-69.00  sec  8.75 MBytes  73.4 Mbits/sec    0    715 KBytes       
[  5]  69.00-70.00  sec  10.0 MBytes  83.9 Mbits/sec    0    741 KBytes       
[  5]  70.00-71.00  sec  8.75 MBytes  73.4 Mbits/sec    0    756 KBytes       
[  5]  71.00-72.00  sec  10.0 MBytes  83.9 Mbits/sec    0    762 KBytes       
[  5]  72.00-73.00  sec  10.0 MBytes  83.9 Mbits/sec    0    763 KBytes       
[  5]  73.00-74.00  sec  10.0 MBytes  83.9 Mbits/sec    0    763 KBytes       
[  5]  74.00-75.00  sec  10.0 MBytes  83.9 Mbits/sec    0    764 KBytes       
[  5]  75.00-76.00  sec  8.75 MBytes  73.4 Mbits/sec    9    569 KBytes       
[  5]  76.00-77.00  sec  7.50 MBytes  62.9 Mbits/sec    0    642 KBytes       
[  5]  77.00-78.00  sec  8.75 MBytes  73.4 Mbits/sec    0    694 KBytes       
[  5]  78.00-79.00  sec  8.75 MBytes  73.4 Mbits/sec    0    730 KBytes       
[  5]  79.00-80.00  sec  8.75 MBytes  73.4 Mbits/sec    0    751 KBytes       
[  5]  80.00-81.00  sec  10.0 MBytes  83.9 Mbits/sec    0    763 KBytes       
[  5]  81.00-82.00  sec  10.0 MBytes  83.9 Mbits/sec    0    767 KBytes       
[  5]  82.00-83.00  sec  10.0 MBytes  83.9 Mbits/sec    0    767 KBytes       
[  5]  83.00-84.00  sec  10.0 MBytes  83.9 Mbits/sec    0    767 KBytes       
[  5]  84.00-85.00  sec  8.75 MBytes  73.4 Mbits/sec    0    770 KBytes       
[  5]  85.00-86.00  sec  8.75 MBytes  73.4 Mbits/sec   13    572 KBytes       
[  5]  86.00-87.00  sec  8.75 MBytes  73.4 Mbits/sec    0    645 KBytes       
[  5]  87.00-88.00  sec  7.50 MBytes  62.9 Mbits/sec    0    698 KBytes       
[  5]  88.00-89.00  sec  10.0 MBytes  83.9 Mbits/sec    0    736 KBytes       
[  5]  89.00-90.00  sec  8.75 MBytes  73.4 Mbits/sec    0    758 KBytes       
[  5]  90.00-91.00  sec  10.0 MBytes  83.9 Mbits/sec    0    771 KBytes       
[  5]  91.00-92.00  sec  10.0 MBytes  83.9 Mbits/sec    0    776 KBytes       
[  5]  92.00-93.00  sec  10.0 MBytes  83.9 Mbits/sec    0    776 KBytes       
[  5]  93.00-94.00  sec  10.0 MBytes  83.9 Mbits/sec    0    776 KBytes       
[  5]  94.00-95.00  sec  10.0 MBytes  83.9 Mbits/sec    0    778 KBytes       
[  5]  95.00-96.00  sec  10.0 MBytes  83.9 Mbits/sec    0    788 KBytes       
[  5]  96.00-97.00  sec  10.0 MBytes  83.9 Mbits/sec    0    806 KBytes       
[  5]  97.00-98.00  sec  10.0 MBytes  83.9 Mbits/sec    0    837 KBytes       
[  5]  98.00-99.00  sec  11.2 MBytes  94.4 Mbits/sec    0    883 KBytes       
[  5]  99.00-100.00 sec  11.2 MBytes  94.4 Mbits/sec    0    949 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   789 MBytes  66.2 Mbits/sec  777             sender
[  5]   0.00-100.08 sec   788 MBytes  66.0 Mbits/sec                  receiver

iperf Done.
