Connecting to host 13.239.64.172, port 5201
[  5] local 10.150.0.2 port 34490 connected to 13.239.64.172 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  2.48 MBytes  20.8 Mbits/sec   11    346 KBytes       
[  5]  67.00-68.00  sec  1.25 MBytes  10.5 Mbits/sec    0    371 KBytes       
[  5]  68.00-69.00  sec  2.50 MBytes  21.0 Mbits/sec    0    385 KBytes       
[  5]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec    8    276 KBytes       
[  5]  70.00-71.00  sec  1.24 MBytes  10.4 Mbits/sec    0    305 KBytes       
[  5]  71.00-72.00  sec  2.50 MBytes  21.0 Mbits/sec    0    320 KBytes       
[  5]  72.00-73.00  sec  1.25 MBytes  10.5 Mbits/sec    0    327 KBytes       
[  5]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    2    304 KBytes       
[  5]  74.00-75.00  sec  1.24 MBytes  10.4 Mbits/sec    0    270 KBytes       
[  5]  75.00-76.00  sec  1.25 MBytes  10.5 Mbits/sec    0    300 KBytes       
[  5]  76.00-77.00  sec  1.25 MBytes  10.5 Mbits/sec    0    318 KBytes       
[  5]  77.00-78.00  sec  2.50 MBytes  21.0 Mbits/sec    1    228 KBytes       
[  5]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0    254 KBytes       
[  5]  79.00-80.00  sec  2.47 MBytes  20.8 Mbits/sec    0    268 KBytes       
[  5]  80.00-81.00  sec  1.24 MBytes  10.4 Mbits/sec    0    275 KBytes       
[  5]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0    275 KBytes       
[  5]  82.00-83.00  sec  1.25 MBytes  10.5 Mbits/sec    0    275 KBytes       
[  5]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0    278 KBytes       
[  5]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0    285 KBytes       
[  5]  85.00-86.00  sec  1.25 MBytes  10.5 Mbits/sec    0    301 KBytes       
[  5]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    3    239 KBytes       
[  5]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec    0    275 KBytes       
[  5]  88.00-89.00  sec  1.25 MBytes  10.5 Mbits/sec    0    296 KBytes       
[  5]  89.00-90.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  90.00-91.00  sec  1.25 MBytes  10.5 Mbits/sec    7    230 KBytes       
[  5]  91.00-92.00  sec  1.25 MBytes  10.5 Mbits/sec    0    249 KBytes       
[  5]  92.00-93.00  sec  1.25 MBytes  10.5 Mbits/sec    2    253 KBytes       
[  5]  93.00-94.00  sec  1.25 MBytes  10.5 Mbits/sec    1    199 KBytes       
[  5]  94.00-95.00  sec  1.23 MBytes  10.3 Mbits/sec    0    212 KBytes       
[  5]  95.00-96.00  sec  1.24 MBytes  10.4 Mbits/sec    0    219 KBytes       
[  5]  96.00-97.00  sec  1.24 MBytes  10.4 Mbits/sec    0    219 KBytes       
[  5]  97.00-98.00  sec  1.25 MBytes  10.5 Mbits/sec    0    219 KBytes       
[  5]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0    221 KBytes       
[  5]  99.00-100.00 sec  1.25 MBytes  10.5 Mbits/sec    0    228 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   180 MBytes  15.1 Mbits/sec  465             sender
[  5]   0.00-100.21 sec   178 MBytes  14.9 Mbits/sec                  receiver

iperf Done.
