Connecting to host 35.246.199.235, port 5201
[  5] local 10.150.0.2 port 36564 connected to 35.246.199.235 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  30.00-31.00  sec  5.00 MBytes  41.9 Mbits/sec    0    473 KBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  41.9 Mbits/sec    0    473 KBytes       
[  5]  32.00-33.00  sec  5.00 MBytes  41.9 Mbits/sec    0    473 KBytes       
[  5]  33.00-34.00  sec  6.25 MBytes  52.4 Mbits/sec    0    476 KBytes       
[  5]  34.00-35.00  sec  5.00 MBytes  41.9 Mbits/sec   10    355 KBytes       
[  5]  35.00-36.00  sec  3.75 MBytes  31.5 Mbits/sec    0    408 KBytes       
[  5]  36.00-37.00  sec  5.00 MBytes  41.9 Mbits/sec    0    441 KBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec   11    338 KBytes       
[  5]  38.00-39.00  sec  3.75 MBytes  31.5 Mbits/sec    0    362 KBytes       
[  5]  39.00-40.00  sec  5.00 MBytes  41.9 Mbits/sec    0    375 KBytes       
[  5]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec    2    280 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    3    219 KBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0    234 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    242 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0    245 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    2    198 KBytes       
[  5]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    4    155 KBytes       
[  5]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0    166 KBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0    168 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0    169 KBytes       
[  5]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    177 KBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    187 KBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0    195 KBytes       
[  5]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    6    157 KBytes       
[  5]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec    0    182 KBytes       
[  5]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0    192 KBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    198 KBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0    198 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0    198 KBytes       
[  5]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0    201 KBytes       
[  5]  60.00-61.00  sec  2.50 MBytes  21.0 Mbits/sec    0    210 KBytes       
[  5]  61.00-62.00  sec  2.50 MBytes  21.0 Mbits/sec    0    227 KBytes       
[  5]  62.00-63.00  sec  2.50 MBytes  21.0 Mbits/sec    0    258 KBytes       
[  5]  63.00-64.00  sec  3.75 MBytes  31.5 Mbits/sec    0    304 KBytes       
