PING 35.247.214.66 (35.247.214.66) 56(84) bytes of data.
64 bytes from 35.247.214.66: icmp_seq=32 ttl=57 time=3.55 ms
64 bytes from 35.247.214.66: icmp_seq=33 ttl=57 time=3.71 ms
64 bytes from 35.247.214.66: icmp_seq=34 ttl=57 time=3.40 ms
64 bytes from 35.247.214.66: icmp_seq=35 ttl=57 time=3.03 ms
64 bytes from 35.247.214.66: icmp_seq=36 ttl=57 time=3.44 ms
64 bytes from 35.247.214.66: icmp_seq=37 ttl=57 time=3.12 ms
64 bytes from 35.247.214.66: icmp_seq=38 ttl=57 time=6.79 ms
64 bytes from 35.247.214.66: icmp_seq=39 ttl=57 time=3.18 ms
64 bytes from 35.247.214.66: icmp_seq=40 ttl=57 time=3.90 ms
64 bytes from 35.247.214.66: icmp_seq=41 ttl=57 time=3.05 ms
64 bytes from 35.247.214.66: icmp_seq=42 ttl=57 time=3.56 ms
64 bytes from 35.247.214.66: icmp_seq=43 ttl=57 time=3.42 ms
64 bytes from 35.247.214.66: icmp_seq=44 ttl=57 time=3.22 ms
64 bytes from 35.247.214.66: icmp_seq=45 ttl=57 time=3.07 ms
64 bytes from 35.247.214.66: icmp_seq=46 ttl=57 time=6.23 ms
64 bytes from 35.247.214.66: icmp_seq=47 ttl=57 time=3.91 ms
64 bytes from 35.247.214.66: icmp_seq=48 ttl=57 time=3.05 ms
64 bytes from 35.247.214.66: icmp_seq=49 ttl=57 time=8.14 ms
64 bytes from 35.247.214.66: icmp_seq=50 ttl=57 time=3.20 ms
64 bytes from 35.247.214.66: icmp_seq=51 ttl=57 time=3.01 ms
64 bytes from 35.247.214.66: icmp_seq=52 ttl=57 time=5.23 ms
64 bytes from 35.247.214.66: icmp_seq=53 ttl=57 time=3.31 ms
64 bytes from 35.247.214.66: icmp_seq=54 ttl=57 time=5.86 ms
64 bytes from 35.247.214.66: icmp_seq=55 ttl=57 time=3.78 ms
64 bytes from 35.247.214.66: icmp_seq=56 ttl=57 time=3.23 ms
