Connecting to host 54.233.156.226, port 5201
[  5] local 10.138.0.2 port 50376 connected to 54.233.156.226 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec  1.25 MBytes  10.5 Mbits/sec    0    260 KBytes       
[  5]  67.00-68.00  sec  1.25 MBytes  10.5 Mbits/sec    0    260 KBytes       
[  5]  68.00-69.00  sec  2.50 MBytes  21.0 Mbits/sec    0    260 KBytes       
[  5]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec    0    265 KBytes       
[  5]  70.00-71.00  sec  1.25 MBytes  10.5 Mbits/sec    0    276 KBytes       
[  5]  71.00-72.00  sec  1.25 MBytes  10.5 Mbits/sec    0    298 KBytes       
[  5]  72.00-73.00  sec  2.50 MBytes  21.0 Mbits/sec    0    336 KBytes       
[  5]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    0    385 KBytes       
[  5]  74.00-75.00  sec  2.50 MBytes  21.0 Mbits/sec    1    314 KBytes       
[  5]  75.00-76.00  sec  1.25 MBytes  10.5 Mbits/sec    0    352 KBytes       
[  5]  76.00-77.00  sec  2.50 MBytes  21.0 Mbits/sec    0    374 KBytes       
[  5]  77.00-78.00  sec  1.25 MBytes  10.5 Mbits/sec    0    386 KBytes       
[  5]  78.00-79.00  sec  2.50 MBytes  21.0 Mbits/sec    0    392 KBytes       
[  5]  79.00-80.00  sec  2.50 MBytes  21.0 Mbits/sec    0    392 KBytes       
[  5]  80.00-81.00  sec  2.50 MBytes  21.0 Mbits/sec    0    392 KBytes       
[  5]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0    395 KBytes       
[  5]  82.00-83.00  sec  2.50 MBytes  21.0 Mbits/sec    0    403 KBytes       
[  5]  83.00-84.00  sec  2.50 MBytes  21.0 Mbits/sec    0    422 KBytes       
[  5]  84.00-85.00  sec  2.50 MBytes  21.0 Mbits/sec    0    451 KBytes       
[  5]  85.00-86.00  sec  2.50 MBytes  21.0 Mbits/sec    0    498 KBytes       
[  5]  86.00-87.00  sec  2.50 MBytes  21.0 Mbits/sec    0    562 KBytes       
[  5]  87.00-88.00  sec  3.75 MBytes  31.5 Mbits/sec    0    652 KBytes       
[  5]  88.00-89.00  sec  3.75 MBytes  31.5 Mbits/sec   19    505 KBytes       
[  5]  89.00-90.00  sec  2.50 MBytes  21.0 Mbits/sec    0    575 KBytes       
[  5]  90.00-91.00  sec  2.50 MBytes  21.0 Mbits/sec   31    417 KBytes       
[  5]  91.00-92.00  sec  2.50 MBytes  21.0 Mbits/sec    2    385 KBytes       
[  5]  92.00-93.00  sec  2.50 MBytes  21.0 Mbits/sec    0    358 KBytes       
[  5]  93.00-94.00  sec  2.50 MBytes  21.0 Mbits/sec    5    346 KBytes       
[  5]  94.00-95.00  sec  1.25 MBytes  10.5 Mbits/sec    0    290 KBytes       
[  5]  95.00-96.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  96.00-97.00  sec  2.50 MBytes  21.0 Mbits/sec    1    311 KBytes       
[  5]  97.00-98.00  sec  1.25 MBytes  10.5 Mbits/sec    1    242 KBytes       
[  5]  98.00-99.00  sec  1.25 MBytes  10.5 Mbits/sec    0    258 KBytes       
[  5]  99.00-100.00 sec  1.25 MBytes  10.5 Mbits/sec    0    268 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   193 MBytes  16.1 Mbits/sec  875             sender
[  5]   0.00-100.18 sec   190 MBytes  15.9 Mbits/sec                  receiver

iperf Done.
